name,ring,quadrant,isNew,description,Laatst bijgewerkt,
Responsible AI,Assess,Techniques,TRUE,"De laatste jaren is er niet alleen aandacht voor waar en hoe AI ingezet kan worden maar ook hoe dit op een verantwoorde manier gedaan kan worden. Dit is Responsible AI, ook wel Ethical AI genoemd. Er zijn verschillende facetten waarop gelet moet worden om AI verantwoord in te zetten. <br/><br/>Binnen het Kadaster willen we op een betrouwbare, transparante en ethische manier omgaan met AI. Een algoritmeregister kan helpen bij het uitlegbaar en transparant maken van de algoritmische toepassingen die we gebruiken. Hiervoor hebben we een AI Governance team en een Ethische Data Commissie in het leven geroepen en publiceren we verscheidende algoritmes in <a href=""https://algoritme.overheid.nl/algoritme?search=kadaster"" target=""_blank"">Het Algoritmeregister</a>. Daarnaast volgen we de ontwikkelingen rondom de AI Act, de aankomende Europese regelgeving rondom het gebruik van AI systemen.<br/><br/>Voor het ethisch omgaan met AI doen we onder andere onderzoek naar Explainable AI. Dit is een set technieken die het mogelijk maakt om de uitkomsten van “black box” AI systemen op zo een manier uit te leggen dat ze voor mensen begrijpelijk zijn. Fairness en bias zijn ook belangrijk in om te monitoren in AI systemen, zodat er niet een groep mensen benadeeld worden door de algoritmes.",02-14-23,
Extended Reality ,Assess,Tools,FALSE,"Extended reality is de overkoepelende term voor Virtual Reality (VR), Mixed Reality (MR), Augmented Reality (AR) en andere immersieve technologieën die de fysieke en digitale wereld verbinden. Hierbij gaat het vooral om de visualisatie zelf en heeft de techniek daarom ook raakvlakken met andere techs zoals digital twin. Het Kadaster onderzoekt waar VR en AR van toepassing kunnen zijn. Er zijn experimenten uitgevoerd met AR voor grensreconstructie en momenteel wordt er gewerkt aan een <a href=""https://labs.kadaster.nl/cases/ar-applicatie"" target=""_blank""> AR en VR applicatie op basis van de Kadaster Knowledge Graph </a>. ",02-14-23,
Unconventional Computing,Monitor,Data management & Infrastructure,TRUE,"Unconventional computing verwijst naar computing paradigma's en technologieën die afwijken van de traditionele Von Neumann-architectuur van klassieke digitale computers. Het omvat een reeks technologieën, zoals quantum computing, neuromorfische hardware, optische computing, DNA computing, en anderen, die erop gericht zijn de beperkingen van klassieke computing, zoals verwerkingssnelheid, energie-efficiëntie en vermogen om bepaalde problemen aan te pakken, te overwinnen.<br/><br/>Op dit moment zijn de ontwikkelingen rondom unconventional computing nog niet zo ver dat die het Kadaster gaan raken. Maar Kadaster houdt wel rekening met deze ontwikkelingen en welke kansen en risico’s deze met zich mee zullen brengen. Zo zal onze computerbeveiliging niet meer toereikend zijn bij de komst van quantum computing en onze encryptie daarmee eenvoudig ontsleutelt kan worden. Hoe veilig zijn onze data en systemen dan nog? Hoewel dit nog jaren zal duren, is het belangrijk dat we tijdig maatregelen nemen om de encryptie bijv. quantum-proof te maken. We houden daarbij ook de inzichten en aanbevelingen van het Nationaal Cyber Security Centrum daarbij in de gaten, omdat dit iets zou zijn wat heel Nederland gaat raken en niet alleen het Kadaster.",02-14-23,
High Performance Computing,Monitor,Data management & Infrastructure,FALSE,"High-performance computing (HPC), ook wel super computing genoemd, is geaggregeerde computerkracht waarbij het geheel veel meer is dan de som van een aantal pc's. De term supercomputer wordt gebruikt voor systemen die tenminste 10.000 tot 100.000 keer sneller zijn dan een gewone pc. Door deze veel grotere rekencapaciteit wordt het mogelijk om complexe problemen op te lossen op het gebied van wetenschappelijk onderzoek en technologische ontwikkeling.<br/><br/>Momenteel maakt het Kadaster gebruik van AI taalmodellen welke getrained zijn op HPC clusters. Het Kadaster maakt zelf geen gebruik van HPC clusters en lijkt dat ook niet nodig te hebben. Reguliere (cloud) machines zijn krachtig genoeg om onze databewerkingen en -analyses uit te kunnen voeren. Wanneer dat een bottlebeck gaat vormen, bijvoorbeeld wanneer we meer met Digital Twins of Extended Reality gaan doen, gaan we onderzoeken of en hoe we gebruik kunnen maken van HPC.",02-14-23,
IoT,Monitor,Data management & Infrastructure,FALSE,"The Internet of Things staat voor een steeds meer verbonden 'wereld'. Steeds meer apparaten zijn verbonden met het internet en daarmee komen nieuwe diensten en integratie van technologie in ons dagelijks leven binnen. Dit heeft al een grote vlucht genomen in de laatste jaren en zal nog zeker voor de nodige vernieuwingen en uitdagingen gaan zorgen in de komende jaren. IoT heeft vooral betrekking op de verbondenheid van apparaten en techniek om ons heen. Tegelijk worden deze apparaten ook steeds krachtiger; zie ook Empowered Edge.<br/><br/>Voor het Kadaster zijn sensoren een relevant onderwerp en daarmee IoT. Tegelijk is IoT zélf minder relevant in de zin dat het Kadaster niet zelf veel IoT devices zal ontwikkelen of op de markt zal brengen. Wel is het belangrijk om deze trend en de ontwikkelingen te volgen zodat het Kadaster kan faciliteren in bijvoorbeeld registratie van sensoren in de openbare ruimte of zelfs meer. Dit is precies waar het Kadaster bij betrokken is: <a href='/demonstrators/sensrnet/index.html'  target=""_blank"">SensRNet</a>, het opzetten van een nationaal sensorenregister.",02-14-23,
Knowledge Graphs,Adopt,Tools,FALSE,"Een Knowledge Graph is een representatie van kennis over een bepaald domein die op een gestructureerde manier is vastgelegd. De knowledge graph is opgebouwd uit informatie afgeleid uit verschillende bronnen. Dit kunnen Kadaster bronnen, maar juist ook andere (open) data bronnen zijn. Voor een gebruiker is de knowledge graph toegankelijk als één geheel, en via verschillende manieren toegankelijk. Zo is de representatie vindbaar in de standaard zoekmachines (bijv. Google) en bevraagbaar middels query API’s zoals GraphQL en SPARQL. Een knowledge graph is gebaseerd op de concepten van Linked Data; zoals het gebruik van semantische modellering op basis van standaarden SKOS en OWL, maar ook het toekennen en linken via unieke identifiers (de URIs). Door deze open standaarden te combineren met de domein- en semantische kennis van de data eigenaren wordt (geo-)data voor iedereen begrijpelijk en toegankelijk. Voor Kadaster biedt de Knowledge Graph mogelijkheden om meerdere (Kadaster) datasets integraal bevraagbaar te maken, alsmede data van collega-overheden en marktpartijen, zie <a href=""https://labs.kadaster.nl/thema/Knowledge_graph"" target=""_blank"">Thema Knowledge Graph</a>. Ook kan de knowledge graph gebruikt worden als ondergrond voor een self-service analyse platform op het Web. Tenslotte hebben we aangetoond dat een Knowledge Graph de onderliggende basis is waar een chatbot (zoals Loki) haar antwoorden op baseert. Met een Knowledge Graph doorbreken we het silo denken in Data en worden wij relevanter voor onze gebruikers.",02-14-23,
Low/No Code,Adopt,Languages & Frameworks,TRUE,"Low en No Code klinkt als een fantastische oplossing voor het tekort aan ontwikkelaars en het beschikbaar maken van rijke IT mogelijkheden aan business gebruikers (citizen developers). Onze visie daarop is dat 'traditionele' software ontwikkeling ook gericht is op zo weinig mogelijk code. De kracht van Low/No Code platformen, nadat deze eenmaal zijn ingericht (wat tijd en geld kost), is een snel begin voor snelle oplossingen. De vendor lock-in van een platform en de onderhoudbaarheid in de toekomst zijn serieuze risico's die meegenomen moeten worden bij het inzetten van dit soort platformen. Low code is in onze ogen daarom met name geschikt voor niet kritieke systemen.  .<br/><br/> Binnen het Kadaster hebben we een Mendix team die low code toepassingen bouwt. Een van de applicaties is de registratie van luchtvaartuigen. Dit is een kleine registratie die met Mendix snel geautomatiseerd worden. ",02-14-23,
Metadata Management,Assess,Data management & Infrastructure,FALSE,"Data groeit en wordt steeds belangrijker. Data wordt steeds vaker gezien als 'de waarheid' om beslissingen op te baseren. Het is daarom van belang om te weten waar data ontstaan is, welke data gebruikt wordt voor een beslissing, wat het data model, de data kwaliteit en de data actualiteit is. Metadata beschrijft al deze aspecten en zou onderdeel moeten zijn van de data, zeker daar waar data gepubliceerd wordt. Met metadata wordt Metadata Management ook steeds belangrijk. Data hoeft niet altijd van de hoogste actualiteit en kwaliteit te zijn, maar de metadata wel!<br><br>
Kadaster heeft en publiceert een behoorlijke omvang van data en daarmee zijn metadata en metadata management relevante activiteiten. Dat doen wij dan ook al jaren. We zetten ons in voor data kwaliteit, het meten daarvan, het verbeteren daarvan én het publiceren van die kwaliteit. We hebben een eigen 'modellenbureau' voor het beheer van datamodellen. We volgen (geo-)standaarden voor het publiceren van metadata bij onze (open) data. Tegelijk volgen we de ontwikkelingen  in metadata management en ondernemen we stappen om onze metadata op een hoger niveau te krijgen en te publiceren. Hierin spelen record management en automatisering een grote rol. Binnen deze trend zijn er ook kant en klare systemen beschikbaar voor het beheer van metadata, maar wij trachten meer aan te sluiten bij open standaarden dan bij tools ivm lock-ins van leveranciers. Uiteraard volgen wij wel de ontwikkelingen in de markt.",02-14-23,
Natural Language Processing ,Adopt,Techniques,FALSE,"Natural Language Processing, aangeduid met NLP, is een onderdeel van Artificial Intelligence en wordt gebruikt voor allerlei toepassingen rondom natuurlijke taal. Hieronder vallen onder andere spellingcontrole, chatbots en suggesties in applicaties (bijv. Gmail). Met de komst van het Transformer model zijn taalmodellen snel beter geworden en voor meer toepassingen inzetbaar.<br/><br/>Binnen het Kadaster wordt ook al gebruik gemaakt van NLP. Zo wordt de akteverwerking ondersteund door NLP, zodat (een deel van) de informatie automatisch uit de aktes gehaald kan worden. Meer informatie over deze toepassing is te vinden in <a href=""https://algoritme.overheid.nl/algoritme/akte-ai-kadaster/"" target=""_blank"">het algoritmeregister</a>. Daarnaast ontwikkelen we een applicatie waarmee Kadasterdata middels natuurlijke taal bevraagd kan worden.",02-14-23,
Open Source Software,Adopt,Languages & Frameworks,FALSE,"Open source software is betekent dat de broncode van software volledig vrij beschikbaar is. Hiermee krijgt iedereen het recht en de mogelijkheid om de broncode in te zien. Dat draagt bij aan de transparantie over hoe de software werkt en het bevordert hergebruik en samenwerking. OSS, de afkorting die meestal gebruikt wordt, is altijd met een open source licentie gepubliceerd waarin is vastgelegd onder welke voorwaarden verbeteringen, aanpassingen en distributie (verdere verspreiding) mag plaatsvinden. <br/><br/>Het onderwerp open source is binnen de overheid in een stroomversnelling geraakt sinds de publicatie van de brief 'Open, Tenzij' aan de Tweede Kamer door staatssecretaris Knops. Vanuit de EU en de Digitale agenda van het kabinet wordt er nog steeds hard getrokken aan het inzetten op open source. Zie ook <a href=""https://opensource.pleio.nl"" target=""_blank"">opensource.pleio.nl</a>. Niet alleen EU en de NLse overheid zetten steeds meer in op open source, maar ook steeds meer commerciële partijen zien het als een mogelijkheid om hun business door te ontwikkelen.<br/><br/> Het Kadaster is actief met beleid op open source bezig en verwacht in 2023 een Open Source Support Office op te zetten, wat over het algemeen beter bekend staat als OSPO, Open Source Program Office. ",02-14-23,
Point Clouds,Explore,Techniques,TRUE,"Een point cloud (puntenwolk) is een 3d foto van een omgeving met achterliggende coördinaten. Ze worden gemaakt met een lidar scanner (Light Detection and Ranging) of op basis van photogrammetrische technieken. Dit wordt een non-contact, non-destructive technologie genoemd om een digitale vorm te maken van een fysieke vorm. Dit wordt al breed toegepast in vele gebieden zoals agrarische en bouw sector. Bij het Kadaster zijn er twee toepassingsgebieden: Landmeetkunde en Geo. Binnen Landmeetkunde heeft een onderzoek plaatsgevonden of puntenwolken van derden (dus niet zelfingewonnen puntenwolken) kunnen worden toegepast voor 'plaats- en tijd onafhankelijk aanwijs halen'. Hierbij werd gekeken hoe puntenwolken in de communicatie met stakeholders buiten het kadaster (de eigenaren van de gens) gebruikt kunnen worden. Onder particuliere klanten was er weinig behoefte voor deze manier van aanwijs halen en werd een fysiek bezoek van de landmeter meer gewaardeerd. Daarnaast is ook gekeken hoe we als Kadaster puntenwolken kunnen controleren op nauwkeurigheid zodat we de puntenwolk van derden voor de metingen kunnen accepteren en niet zelf hoeven in te winnen. Deze bleken nog niet van voldoende nauwkeurigheid. Binnen het GEO-domein is het Kadaster al veel verder: puntenwolken dienen mede als input voor onze 3D-basisvoorziening.",02-14-23,
Privacy Enhancing Technologies,Explore,Techniques,FALSE,"Dit is een verzamelnaam voor technieken die gebruikt kunnen worden om data te beschermen. Het doel is om de privacy zoveel mogelijk te waarborgen zonder de functionaliteit van systemen te verliezen. Voorbeelden van privacy enhancing technologies zijn Multi-Party Computation (MPC), Federated learning, Differential Privacy maar ook data anonimisering en pseudonimisering. Het ETC heeft de mogelijkheden van MPC onderzocht d.m.v. deelname aan een MPC pilot met o.a. KvK & TNO.",06-09-21,
Robotic Process Automation (RPA),Assess,Techniques,FALSE,Processen met repeterende stappen kunnen in steeds grotere maten gerobotiseerd en daarmee geautomatiseerd worden. Binnen het Kadaster heeft er een geslaagde pilot plaatsgevonden rond het in kaart brengen van de ov-kosten. Daarbij moeten we de opmerking maken dat RPA vooral van toepassing is voor processen die niet echt (snel) aangepast en (dus) verbeterd kunnen worden. Bij Kadaster wordt al veel continuous delivery en actief ingezet op het up-to-date houden van onze applicatie en landschap en daarmee is RPA minder relevant of van toegevoegde waarde.,06-09-21,
Smart Anything,Monitor,Data management & Infrastructure,FALSE,"Smart betekent slim, autonoom, rijk in de beleving en daarmee wordt gedoeld op slimme apparaten die autonoom kunnen opereren, veel sensoren, veel data, begrijpelijke en rijke visualisaties. En dit concept wordt op steeds meer zaken toegepast: Smart City, Smart Home, Smart Workspace, Smart Dust, Smart Materials. Smart Anything dus :-) Dit is een breed gebied waarin concepten en technologie overeenkomstig is of juist heel erg verschillend. Sensoren, IoT en Empowered Edge vormen hier onderdelen in en het wordt ‘Smart’ als deze worden gecombineerd met cloud oplossingen en visualisaties waarin data tot betekenisvolle informatie wordt vertaald en begrijpelijk en toegankelijk wordt gemaakt voor de mens. <br/><br/>Diverse onderdelen van Smart Anything staan apart in deze TechRadar (zie bv. smart city) en zijn wisselend relevant voor het Kadaster. De toepassing van Smart bepaald in hoeverre dat relevant is voor het Kadaster. Smart Home en Smart City zijn relevant vanuit het perspectief van waarde van huizen en gebiedsontwikkeling en geografische informatie. Smart Workspace is vooral relevant voor het Kadaster voor haar eigen medewerkers. Smart Dust, hele kleine sensoren, mogelijk zijn microscopisch klein, zijn niet relevant, net zoals Smart Materials. Smart Anything is een relevante trend en het Kadaster zou moeten onderzoeken waar het kan bijdragen en participeren en tegelijk zijn zij slechts een schakel in de hele Smart Anything 'beweging'.",06-09-21,
Smart City,Assess,Data management & Infrastructure,FALSE,"Smart Cities zijn onderdeel van Smart Anything is op dit moment de meest relevante subcategorie voor het Kadaster. Het Kadaster zal zelf geen Smart Cities gaan ontwikkelen maar kan een aandeel hebben in het leveren van de data en kan participeren in de ontwikkeling van een Smart City. Het Kadaster heeft  laatst samen met 50 andere partijen de ""<a href=""https://agendastad.nl/citydeal/een-slimme-stad-zo-doe-je-dat/"" target=""_blank"">City Deal; een slimme stad zo doe je dat</a>"" ondertekend.",06-09-21,
Virtual Assistant,Assess,Tools,FALSE,"Virtual Assistants, of Conversational AI, zien we tegenwoordig steeds meer om ons heen, denk aan ChatGPT, Apple's Siri of Google Assistent. Bij conversational AI gaat het om het voeren van een gesprek met de computer via tekst of spraak. Chatbots bestaan al lang, maar nog niet zo lang met extra hulp van generatieve taalmodellen. Daarmee is het mogelijk om een chatbot veel persoonlijker en minder strikt een vooraf bedacht schema te laten volgen. Voice assistance gaat technisch gezien nog een stap verder en hierbij wordt nog meer gebruik gemaakt van Artificial Intelligence.<br/><br/>Chatbots zullen dan waarschijnlijk ook eerder worden ingezet binnen het Kadaster. Het Kadaster kan zeker voordeel hebben van chatbots en het is goed om te onderzoeken waar chatbots de werkdruk kunnen verlichten en/of de eerste lijn van vragen kunnen beantwoorden.<br/><br/>Het Kadaster experimenteert momenteel zelf met een chatbot genaamd LOKI. Loki is een experiment waarbij we de toegevoegde waarde willen aantonen van een chatbot voor Locatie-gebaseerde Kadaster Informatieverstrekking. Dat doen we nu via SPARQL en GraphQL endpoints, waar softwareontwikkelaars zich wel mee uit te voeten kunnen, maar niet geschikt is voor een breed publiek. Middels een chatbot kan een vraag in natuurlijke taal worden omgezet naar database-queries in eerder genoemde formaat. Hiermee wordt de Kadasterdata beter toegankelijk. Meer informatie over Loki is the vinden op onze <a href=""https://labs.kadaster.nl/cases/loki"" target=""_blank"">Labs-pagina</a>. Het antwoord kan vervolgens ook weer omgezet worden naar natuurlijke taal, dit gaat met behulp van Generative AI.",02-13-23,
Self-Sovereign Identity,Monitor,Data management & Infrastructure,FALSE,"Self-sovereign identity (SSI) is een concept waarbij individuen de controle hebben over hun eigen digitale identiteit. Dit betekent dat ze in staat zijn om hun persoonlijke gegevens te beheren en te delen zonder afhankelijk te zijn van een enkele centrale autoriteit of partij zoals een Gemeente of Meta. Bij SSI maken personen gebruik van digitale (identiteits)gegevens die door betrouwbare bronnen zijn uitgegeven. Hiervoor kan gebruik worden gemaakt van verifiable credentials (VC’s). Een VC is een digitaal bewijsstuk dat door een betrouwbare bron is uitgegeven en dat kan worden gebruikt om de identiteit of attributen van een persoon te verifiëren. Dit kan bijvoorbeeld een diploma of een rijbewijs zijn. Deze VC’s worden opgeslagen in een wallet (offline) of POD (online). Deze is alleen toegankelijk voor de eigenaar en kan worden gebruikt om hun identiteit te bewijzen terwijl er zo min mogelijk persoonlijke informatie wordt gedeeld. Hierdoor hebben individuen controle over hoe en wanneer hun (identiteits)gegevens worden gedeeld.<br/><br/>SSI wordt momenteel veel onderzocht, dit komt onder andere door de aangekondigde komst van een Europese Digitale Identiteit en de ontwikkeling van een Nederlandse wallet waarin burgers attributen kunnen gaan laden. Het Kadaster kan binnen SSI de rol van uitgever, issuer, spelen. Zo kan het Kadaster bijv. een eigendomscertificaat gaan uitgeven. Het is daarom relevant om deze ontwikkeling te blijven volgen.",06-09-21,
Orbital Aerospace,Monitor,Data management & Infrastructure,FALSE,"We zien dat het steeds goedkoper wordt om satellieten de lucht in te brengen en daardoor komen er ook steeds meer bij. Het gaat met name om een toename in Low Earth Orbit (LEO) satellieten. Voor het Kadaster zien we 3 mogelijk relevante doeleinden van satellieten; gps, low latency internet en remote sensing. Deze kunnen verder onderzocht worden.  ",06-09-21,
